x,y,R,G,B,Y,Cb,Cr,isAdaptiveSkin,isUsable,isEye,isBrow,isMouth,isHairline,isEar,isBeard,isSpecular,lightClass
52,230,0.72156862745098,0.650980392156863,0.650980392156863,163,125,136,1,1,0,0,0,0,0,0,0,medium
52,231,0.741176470588235,0.670588235294118,0.670588235294118,167,125,136,1,1,0,0,0,0,0,0,0,medium
52,232,0.752941176470588,0.682352941176471,0.682352941176471,170,125,136,1,1,0,0,0,0,0,0,0,medium
52,233,0.764705882352941,0.694117647058824,0.694117647058824,173,125,136,1,1,0,0,0,0,0,0,0,medium
52,234,0.764705882352941,0.694117647058824,0.694117647058824,173,125,136,1,1,0,0,0,0,0,0,0,medium
52,235,0.764705882352941,0.694117647058824,0.694117647058824,173,125,136,1,1,0,0,0,0,0,0,0,medium
52,236,0.764705882352941,0.694117647058824,0.694117647058824,173,125,136,1,1,0,0,0,0,0,0,0,medium
52,237,0.768627450980392,0.698039215686274,0.690196078431373,173,124,136,1,1,0,0,0,0,0,0,0,medium
52,238,0.768627450980392,0.698039215686274,0.690196078431373,173,124,136,1,1,0,0,0,0,0,0,0,medium
52,239,0.768627450980392,0.698039215686274,0.690196078431373,173,124,136,1,1,0,0,0,0,0,0,0,medium
52,240,0.768627450980392,0.698039215686274,0.690196078431373,173,124,136,1,1,0,0,0,0,0,0,0,medium
52,241,0.768627450980392,0.698039215686274,0.682352941176471,173,124,136,1,1,0,0,0,0,0,0,0,medium
52,242,0.768627450980392,0.698039215686274,0.682352941176471,173,124,136,1,1,0,0,0,0,0,0,0,medium
52,243,0.768627450980392,0.701960784313725,0.674509803921569,173,122,136,1,1,0,0,0,0,0,0,0,medium
52,244,0.768627450980392,0.701960784313725,0.674509803921569,173,122,136,1,1,0,0,0,0,0,0,0,medium
52,245,0.772549019607843,0.705882352941177,0.67843137254902,174,122,136,1,1,0,0,0,0,0,0,0,medium
52,246,0.772549019607843,0.705882352941177,0.67843137254902,174,122,136,1,1,0,0,0,0,0,0,0,medium
52,247,0.768627450980392,0.701960784313725,0.670588235294118,173,122,136,1,1,0,0,0,0,0,0,0,medium
52,248,0.768627450980392,0.694117647058824,0.666666666666667,172,122,137,1,1,0,0,0,0,0,0,0,medium
52,249,0.776470588235294,0.698039215686274,0.670588235294118,173,122,137,1,1,0,0,0,0,0,0,0,medium
52,250,0.772549019607843,0.694117647058824,0.666666666666667,172,122,137,1,1,0,0,0,0,0,0,0,medium
52,251,0.768627450980392,0.686274509803922,0.666666666666667,171,123,138,1,1,0,0,0,0,0,0,0,medium
52,252,0.768627450980392,0.686274509803922,0.666666666666667,171,123,138,1,1,0,0,0,0,0,0,0,medium
52,253,0.768627450980392,0.686274509803922,0.666666666666667,171,123,138,1,1,0,0,0,0,0,0,0,medium
52,254,0.776470588235294,0.694117647058824,0.674509803921569,173,123,138,1,1,0,0,0,0,0,0,0,medium
52,255,0.780392156862745,0.698039215686274,0.67843137254902,174,123,138,1,1,0,0,0,0,0,0,0,medium
52,256,0.784313725490196,0.701960784313725,0.682352941176471,175,123,138,1,1,0,0,0,0,0,0,0,medium
52,257,0.792156862745098,0.709803921568627,0.690196078431373,176,123,138,1,1,0,0,0,0,0,0,0,bright
52,258,0.792156862745098,0.709803921568627,0.690196078431373,176,123,138,1,1,0,0,0,0,0,0,0,bright
52,259,0.792156862745098,0.717647058823529,0.701960784313725,178,123,137,1,1,0,0,0,0,0,0,0,bright
52,260,0.792156862745098,0.717647058823529,0.701960784313725,178,123,137,1,1,0,0,0,0,0,0,0,bright
52,261,0.796078431372549,0.72156862745098,0.705882352941177,179,123,137,1,1,0,0,0,0,0,0,0,bright
52,262,0.8,0.725490196078431,0.709803921568627,179,123,137,1,1,0,0,0,0,0,0,0,bright
52,263,0.807843137254902,0.733333333333333,0.717647058823529,181,123,137,1,1,0,0,0,0,0,0,0,bright
52,264,0.811764705882353,0.737254901960784,0.72156862745098,182,123,137,1,1,0,0,0,0,0,0,0,bright
