x,y,R,G,B,Y,Cb,Cr,isAdaptiveSkin,isUsable,isHairLike,isLipLike,isEyeLike,isEarLike,isSaturated,isNonSkinColor,lightClass
303,195,0.141176470588235,0.0745098039215686,0.0470588235294118,36,122,136,0,0,1,0,1,0,0,1,dark
303,196,0.145098039215686,0.0784313725490196,0.0509803921568627,37,122,136,0,0,1,0,1,0,0,1,dark
303,197,0.16078431372549,0.0941176470588235,0.0666666666666667,40,122,136,0,0,1,0,1,0,0,1,dark
303,198,0.176470588235294,0.109803921568627,0.0823529411764706,44,122,136,0,0,1,0,1,0,0,1,dark
303,199,0.188235294117647,0.12156862745098,0.0941176470588235,46,122,136,0,0,1,0,1,0,0,1,dark
303,200,0.203921568627451,0.133333333333333,0.117647058823529,49,124,136,1,0,1,0,1,0,0,0,dark
303,201,0.215686274509804,0.145098039215686,0.129411764705882,52,124,136,1,0,1,0,1,0,0,0,dark
303,202,0.227450980392157,0.152941176470588,0.129411764705882,54,123,137,1,0,1,0,1,0,0,0,dark
303,203,0.235294117647059,0.16078431372549,0.133333333333333,55,122,137,1,0,1,0,1,0,0,0,dark
303,204,0.23921568627451,0.16078431372549,0.133333333333333,56,122,137,1,0,1,0,1,0,0,0,dark
303,205,0.231372549019608,0.152941176470588,0.125490196078431,54,122,137,1,0,1,0,1,0,0,0,dark
303,206,0.223529411764706,0.133333333333333,0.109803921568627,51,122,139,1,0,1,0,1,0,0,0,dark
303,207,0.223529411764706,0.133333333333333,0.109803921568627,51,122,139,1,0,1,0,1,0,0,0,dark
303,208,0.23921568627451,0.145098039215686,0.129411764705882,54,123,139,1,0,1,0,1,0,0,0,dark
303,209,0.250980392156863,0.156862745098039,0.141176470588235,56,123,139,1,0,1,0,1,0,0,0,dark
303,210,0.266666666666667,0.188235294117647,0.16078431372549,62,122,137,1,1,0,0,0,0,0,0,dark
303,211,0.270588235294118,0.192156862745098,0.164705882352941,63,122,137,1,1,0,0,0,0,0,0,dark
303,212,0.274509803921569,0.196078431372549,0.168627450980392,63,122,137,1,1,0,0,0,0,0,0,dark
303,213,0.27843137254902,0.2,0.172549019607843,64,122,137,1,1,0,0,0,0,0,0,dark
303,214,0.282352941176471,0.192156862745098,0.168627450980392,63,122,139,1,1,0,0,0,0,0,0,dark
303,215,0.282352941176471,0.192156862745098,0.168627450980392,63,122,139,1,1,0,0,0,0,0,0,dark
303,216,0.282352941176471,0.184313725490196,0.164705882352941,62,122,139,1,1,0,0,0,0,0,0,dark
303,217,0.282352941176471,0.184313725490196,0.164705882352941,62,122,139,1,1,0,0,0,0,0,0,dark
303,218,0.294117647058824,0.196078431372549,0.176470588235294,65,122,139,1,1,0,0,0,0,0,0,dark
303,219,0.298039215686275,0.2,0.180392156862745,66,122,139,1,1,0,0,0,0,0,0,dark
303,220,0.298039215686275,0.2,0.180392156862745,66,122,139,1,1,0,0,0,0,0,0,dark
303,221,0.305882352941176,0.207843137254902,0.188235294117647,67,122,139,1,1,0,0,0,0,0,0,dark
303,222,0.313725490196078,0.215686274509804,0.196078431372549,69,122,139,1,1,0,0,0,0,0,0,dark
303,223,0.317647058823529,0.219607843137255,0.2,70,122,139,1,1,0,0,0,0,0,0,dark
303,224,0.32156862745098,0.223529411764706,0.196078431372549,71,121,139,1,1,0,0,0,0,0,0,dark
303,225,0.325490196078431,0.227450980392157,0.2,72,121,139,1,1,0,0,0,0,0,0,dark
303,226,0.337254901960784,0.243137254901961,0.203921568627451,74,120,139,1,1,0,0,0,0,0,0,dark
303,227,0.329411764705882,0.235294117647059,0.196078431372549,73,120,139,1,1,0,0,0,0,0,0,dark
303,228,0.325490196078431,0.231372549019608,0.184313725490196,72,119,139,1,1,0,0,0,0,0,0,dark
303,229,0.345098039215686,0.250980392156863,0.203921568627451,76,119,139,1,1,0,0,0,0,0,0,dark
303,230,0.376470588235294,0.286274509803922,0.231372549019608,83,118,139,1,1,0,0,0,0,0,0,dark
303,231,0.407843137254902,0.317647058823529,0.262745098039216,90,118,139,1,1,0,0,0,0,0,0,medium
303,232,0.419607843137255,0.329411764705882,0.266666666666667,92,118,139,1,1,0,0,0,0,0,0,medium
303,233,0.415686274509804,0.325490196078431,0.262745098039216,92,118,139,1,1,0,0,0,0,0,0,medium
303,234,0.415686274509804,0.313725490196078,0.254901960784314,90,118,140,1,1,0,0,0,0,0,0,medium
303,235,0.419607843137255,0.317647058823529,0.258823529411765,91,118,140,1,1,0,0,0,0,0,0,medium
303,236,0.431372549019608,0.329411764705882,0.270588235294118,93,118,140,1,1,0,0,0,0,0,0,medium
303,237,0.443137254901961,0.341176470588235,0.282352941176471,96,118,140,1,1,0,0,0,0,0,0,medium
303,238,0.43921568627451,0.337254901960784,0.27843137254902,95,118,140,1,1,0,0,0,0,0,0,medium
303,239,0.431372549019608,0.329411764705882,0.270588235294118,93,118,140,1,1,0,0,0,0,0,0,medium
303,240,0.431372549019608,0.329411764705882,0.270588235294118,93,118,140,1,1,0,0,0,0,0,0,medium
303,241,0.443137254901961,0.341176470588235,0.282352941176471,96,118,140,1,1,0,0,0,0,0,0,medium
303,242,0.443137254901961,0.341176470588235,0.282352941176471,96,118,140,1,1,0,0,0,0,0,0,medium
303,243,0.43921568627451,0.337254901960784,0.27843137254902,95,118,140,1,1,0,0,0,0,0,0,medium
