timestamp,offset_seconds,frame_number,iso,shutter_speed,aperture,wb_temp_kelvin,wb_tint,global_luminance,saturation_ratio,face_detected,face_confidence,global_frame_raw_mean,global_frame_norm_mean,global_frame_skin_pixels,global_frame_total_pixels,full_face_raw_mean,full_face_norm_mean,full_face_skin_pixels,full_face_total_pixels,forehead_raw_mean,forehead_norm_mean,forehead_skin_pixels,forehead_total_pixels,left_cheek_raw_mean,left_cheek_norm_mean,left_cheek_skin_pixels,left_cheek_total_pixels,right_cheek_raw_mean,right_cheek_norm_mean,right_cheek_skin_pixels,right_cheek_total_pixels,nose_raw_mean,nose_norm_mean,nose_skin_pixels,nose_total_pixels
2026-04-07T22:50:04.000Z,-0.5177,1,105,0.013880,1.9,4764,10.7,115.39,0.000000,true,1.000,115.39,131.45,0,129600,136.15,155.09,189052,252004,110.09,125.40,7740,11176,96.39,109.80,3176,4220,117.41,133.75,46968,68880,107.55,122.52,4960,5012
2026-04-07T22:50:06.000Z,1.4823,2,105,0.013880,1.9,4764,10.7,117.96,0.000000,true,1.000,117.96,134.38,0,129600,134.91,153.69,180352,238144,110.55,125.93,8288,12036,95.71,109.03,3224,4404,117.43,133.77,46560,68420,106.28,121.07,4964,4976
2026-04-07T22:50:09.000Z,4.4823,3,105,0.013880,1.9,4764,10.7,118.60,0.000000,true,1.000,118.60,135.10,0,129600,134.42,153.12,186600,241080,118.27,134.73,7780,11056,85.11,96.96,1244,1460,117.28,133.60,47888,69000,108.84,123.98,5268,5324
2026-04-07T22:50:11.000Z,6.4823,4,105,0.013880,1.9,4764,10.7,118.33,0.000000,true,1.000,118.33,134.79,0,129600,134.07,152.72,184588,248004,114.14,130.02,7876,11572,93.80,106.85,3208,4240,116.73,132.97,46516,68464,106.61,121.44,5136,5184
2026-04-07T22:50:13.000Z,8.4823,5,105,0.013880,1.9,4764,10.7,118.60,0.000000,true,1.000,118.60,135.10,0,129600,134.76,153.51,180488,236196,113.78,129.62,8072,11284,95.71,109.02,2904,3804,117.64,134.01,46184,68276,108.13,123.18,5120,5168
2026-04-07T22:50:16.000Z,11.4823,6,105,0.013880,1.9,4764,10.7,118.63,0.000000,true,1.000,118.63,135.14,0,129600,135.60,154.47,182856,241080,114.47,130.39,6768,10372,94.78,107.97,3124,4156,118.13,134.57,48372,70364,108.78,123.92,5064,5064
2026-04-07T22:50:18.000Z,13.4823,7,105,0.013880,1.9,4764,10.7,118.13,0.000000,true,1.000,118.13,134.57,0,129600,134.19,152.86,188324,248004,111.91,127.48,7920,11648,94.29,107.41,3304,4260,116.52,132.73,49892,70516,109.58,124.82,5032,5032
2026-04-07T22:50:21.000Z,16.4823,8,105,0.013880,1.9,4764,10.7,118.39,0.000000,true,1.000,118.39,134.86,0,129600,134.39,153.09,184788,248004,119.30,135.89,6240,10092,94.09,107.18,3244,4192,118.10,134.53,48604,69276,111.05,126.50,5276,5276
2026-04-07T22:50:23.000Z,18.4823,9,105,0.013880,1.9,4764,10.7,118.24,0.000000,true,1.000,118.24,134.69,0,129600,134.79,153.55,186352,244036,121.59,138.51,9232,12180,94.59,107.75,2564,3496,117.94,134.35,51260,71936,111.36,126.86,4932,4932
2026-04-07T22:50:25.000Z,20.4823,10,105,0.013880,1.9,4764,10.7,118.59,0.000000,true,1.000,118.59,135.09,0,129600,136.96,156.01,194064,257048,114.11,129.99,7640,11672,96.35,109.75,3220,4320,119.40,136.01,50900,70564,113.97,129.83,5244,5244
2026-04-07T22:50:28.000Z,23.4823,11,105,0.013880,1.9,4764,10.7,118.50,0.000000,true,1.000,118.50,134.98,0,129600,135.47,154.32,190840,250000,116.01,132.16,7484,11328,94.52,107.67,2964,3940,118.33,134.79,49816,70212,112.52,128.18,5080,5080
2026-04-07T22:50:30.000Z,25.4823,12,105,0.013880,1.9,4764,10.7,118.71,0.000000,true,1.000,118.71,135.23,0,129600,135.70,154.59,184060,242064,113.28,129.04,8120,11376,97.57,111.14,3004,4048,118.18,134.63,48120,68736,109.47,124.70,5104,5136
2026-04-07T22:50:33.000Z,28.4823,13,105,0.013880,1.9,4764,10.7,118.66,0.000000,true,1.000,118.66,135.17,0,129600,134.09,152.75,179644,232324,124.12,141.39,7488,10520,100.96,115.01,3060,4240,120.32,137.06,55112,76540,106.35,121.14,4680,4764
2026-04-07T22:50:35.000Z,30.4823,14,105,0.013880,1.9,4764,10.7,118.17,0.000000,true,1.000,118.17,134.62,0,129600,133.23,151.77,186268,244036,109.34,124.55,8172,11344,94.56,107.71,2976,4124,115.33,131.37,51060,71812,106.75,121.61,5028,5044
2026-04-07T22:50:37.000Z,32.4823,15,105,0.013880,1.9,4764,10.7,118.13,0.000000,true,1.000,118.13,134.57,0,129600,133.65,152.24,189784,250000,112.00,127.58,8232,11080,93.05,106.00,2680,3724,116.12,132.28,50680,71560,107.49,122.44,5140,5140
2026-04-07T22:50:40.000Z,35.4823,16,105,0.013880,1.9,4764,10.7,118.35,0.000000,true,1.000,118.35,134.82,0,129600,133.87,152.50,186800,245024,116.17,132.34,8316,11172,95.72,109.04,2776,3696,117.74,134.13,52172,71764,109.06,124.23,4988,4988
2026-04-07T22:50:42.000Z,37.4823,17,105,0.013880,1.9,4764,10.7,118.53,0.000000,true,1.000,118.53,135.03,0,129600,133.03,151.54,184896,240100,116.13,132.29,7988,11888,93.09,106.05,2824,3844,116.75,133.00,50280,71512,109.04,124.21,5244,5268
2026-04-07T22:50:44.000Z,39.4823,18,105,0.013880,1.9,4764,10.7,118.12,0.000000,true,1.000,118.12,134.55,0,129600,133.85,152.47,189912,249000,115.23,131.26,8064,10968,93.43,106.43,2740,3708,116.72,132.97,51592,71992,110.02,125.32,5180,5180
2026-04-07T22:50:47.000Z,42.4823,19,105,0.013880,1.9,4764,10.7,119.02,0.000000,true,1.000,119.02,135.58,0,129600,133.54,152.12,185020,240100,117.81,134.20,9068,12572,92.13,104.95,2364,3184,117.06,133.35,50836,70596,110.88,126.31,5220,5244
2026-04-07T22:50:49.000Z,44.4823,20,105,0.013880,1.9,4764,10.7,119.30,0.000000,true,1.000,119.30,135.90,0,129600,133.20,151.73,185068,238144,122.44,139.47,7948,11664,83.04,94.60,1180,1364,116.48,132.69,49136,70088,107.58,122.54,5236,5292
2026-04-07T22:50:52.000Z,47.4823,21,105,0.013880,1.9,4764,10.7,115.86,0.000000,true,1.000,115.86,131.98,0,129600,133.32,151.87,186624,241080,118.15,134.59,7048,10140,92.58,105.46,3048,3936,116.21,132.38,49984,70312,105.98,120.73,5192,5240
2026-04-07T22:50:54.000Z,49.4823,22,105,0.013880,1.9,4764,10.7,116.10,0.000000,true,1.000,116.10,132.25,0,129600,134.47,153.18,199836,262144,113.95,129.81,8464,11584,83.92,95.60,1548,1736,120.88,137.70,56612,78264,107.36,122.30,5608,5704
2026-04-07T22:50:57.000Z,52.4823,23,105,0.013880,1.9,4764,10.7,115.82,0.000000,true,1.000,115.82,131.94,0,129600,132.75,151.22,200596,264196,112.50,128.16,10040,13688,90.13,102.67,3304,4348,112.66,128.33,53080,74028,106.09,120.85,5276,5288
2026-04-07T22:50:59.000Z,54.4823,24,105,0.013880,1.9,4764,10.7,115.93,0.000000,true,1.000,115.93,132.06,0,129600,133.23,151.77,199680,261120,112.22,127.84,10200,13056,92.30,105.15,3064,4272,114.66,130.61,55104,76428,106.82,121.68,5248,5264
2026-04-07T22:51:02.000Z,57.4823,25,105,0.013880,1.9,4764,10.7,115.91,0.000000,true,1.000,115.91,132.04,0,129600,134.13,152.79,199520,265224,110.35,125.71,9424,13452,93.92,106.98,3476,4776,116.57,132.79,54344,77176,107.00,121.89,5524,5572
